level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1755	-1	
2	1	1	0	0	0	175	119	670	76	-1	
3	1	1	1	0	0	189	119	390	16	-1	
4	1	1	1	1	0	189	119	390	16	-1	
5	1	1	1	1	1	189	119	88	13	70.787369	Chawakorn
5	1	1	1	1	2	284	119	92	13	91.232216	Kamnuansil
5	1	1	1	1	3	385	119	194	16	78.091843	ck.chawakorn@gmail.com
3	1	1	2	0	0	190	139	655	33	-1	
4	1	1	2	1	0	190	139	655	17	-1	
5	1	1	2	1	1	190	140	19	12	95.450851	Re:
5	1	1	2	1	2	221	140	70	15	92.743912	Follow-up
5	1	1	2	1	3	296	146	9	2	51.080799	—
5	1	1	2	1	4	311	140	50	12	96.875694	Formal
5	1	1	2	1	5	368	140	60	12	93.285057	Demand
5	1	1	2	1	6	435	140	10	12	93.285057	&
5	1	1	2	1	7	451	139	75	13	96.924652	Statement
5	1	1	2	1	8	532	140	74	16	95.871559	Regarding
5	1	1	2	1	9	614	140	82	12	94.843102	Unresolved
5	1	1	2	1	10	703	140	56	15	96.655006	Repairs
5	1	1	2	1	11	765	140	33	15	96.867798	(Unit
5	1	1	2	1	12	805	140	40	15	96.737213	1803)
4	1	1	2	2	0	190	160	192	12	-1	
5	1	1	2	2	1	190	160	17	12	96.148506	16
5	1	1	2	2	2	212	160	35	12	96.846382	June
5	1	1	2	2	3	253	160	22	12	96.939705	AD
5	1	1	2	2	4	281	160	35	12	89.960793	2025
5	1	1	2	2	5	323	160	12	12	96.943954	at
5	1	1	2	2	6	341	160	41	12	95.361702	04:36
3	1	1	3	0	0	175	179	572	16	-1	
4	1	1	3	1	0	175	179	572	16	-1	
5	1	1	3	1	1	175	189	3	3	67.284012	:
5	1	1	3	1	2	189	179	43	16	96.518120	Sylvia
5	1	1	3	1	3	239	179	29	13	93.295502	Hao
5	1	1	3	1	4	274	186	4	2	91.879486	-
5	1	1	3	1	5	283	179	38	13	96.827126	Areal
5	1	1	3	1	6	328	179	62	16	96.725052	Property
5	1	1	3	1	7	396	179	69	13	95.620110	Hawthorn
5	1	1	3	1	8	472	179	48	16	92.975410	(MPM)
5	1	1	3	1	9	529	179	218	16	81.181854	MPM@email.propertyme.com
2	1	2	0	0	0	109	115	80	81	-1	
3	1	2	1	0	0	109	115	80	81	-1	
4	1	2	1	1	0	109	115	80	28	-1	
5	1	2	1	1	1	109	115	80	28	95.000000	 
4	1	2	1	2	0	109	143	80	53	-1	
5	1	2	1	2	1	109	143	80	53	95.000000	  
2	1	3	0	0	0	155	226	388	11	-1	
3	1	3	1	0	0	155	226	388	11	-1	
4	1	3	1	1	0	155	226	388	11	-1	
5	1	3	1	1	1	155	227	19	10	89.698868	just
5	1	3	1	1	2	178	226	51	11	96.745850	wondering
5	1	3	1	1	3	234	226	5	9	62.205719	if
5	1	3	1	1	4	243	226	33	9	62.205719	there's
5	1	3	1	1	5	280	229	18	8	96.965576	any
5	1	3	1	1	6	302	226	35	11	94.585785	update
5	1	3	1	1	7	341	229	11	6	94.585785	on
5	1	3	1	1	8	357	226	15	9	96.991684	the
5	1	3	1	1	9	376	226	38	11	95.933151	general
5	1	3	1	1	10	418	229	28	8	90.577667	repair
5	1	3	1	1	11	450	226	24	11	96.800972	days
